entity_id,preferred_label,entity_type,identity_state,review_status,mention_assertions,decision_ids,ambiguity_note
entity.pilot.333a3a17f3043933,சேரமான் கடுங்கோ வாழியாதன் : சேரமான் செல்வக் கடுங்கோ வாழியாதன் என்பவனும் இவனே,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.60dbc73fd8998aa3fc3e5796,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.1cb9350e2a6d9699,சேரமான் கருவூரேறிய ஒள்வாட் கோப்பெருஞ் சேரல்,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.f77cd4c33c3270acdfb5e74c,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.0d6316683bf71fd7,சேரமான் செல்வக் கடுங்கோ வாழியாதன்,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.46bb3ac96fc63a36b51b3f61|asrt.e08e190296581f6163ce73a2,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.811573dde12e8b4a,சேரமான் பாலை பாடிய பெருங்கடுங்கோ,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.f38c5bbc46aff9be554e41fe,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.7d516aa7108a2ec3,சேரமான் பெருஞ்சோற்று உதியன் சேரலாதன்,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.6fc34fc2aba6fc30e6b5c912,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.4809f15ae3ddf74f,சேரமான் யானைக்கட் சேஎய் மாந்தரஞ் சேரல் இரும்பொறை,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.9c4b6d8d4400ce05effe1fd0,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.47d864f123b24f65,சேரமான் யானைக்கட்சேய் மாந்தரஞ் சேரல் இரும்பொறை; மாந்தரஞ் சேரல்,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.3fae96bfb5dcb6d1445bf99e,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.d812b849d9b8666d,சேரமான் யானைக்கண்சேய் மாந்தரஞ்சேரல் இரும்பொறை,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.e00bfe42515d3727901dfd04,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.83a99c588626898c,சோழன் இராசசூயம் வேட்ட பெருநற்கிள்ளி,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.f9f7cd1be4b6292f3e8e03f4,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.63aa49e6eb4fbaf2,சோழன் உருவப் ப·றேர் இளஞ்சேட் சென்னி,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.4ea6c94593c6b02fb165239e,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.011017e833587cd1,சோழன் கரிகாற் பெருவளத்தான்,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.720bc382d10dccb6076787d1,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.bc5238e656305d31,சோழன் நெய்தலங் கானல் இளஞ்சேட் சென்னி,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.e524fb5d6c464e8373f22ccc,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.f731dd7ccee79f72,சோழன் முடித்தலைக் கோப்பெருநற்கிள்ளி,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.a6527a3cc8a1efacc78cabb0,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.a595e45135ec8123,தலையாலங்கானத்துச் செருவென்ற நெடுஞ்செழியன்,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.d47020b5601c0fc6aeaad13a,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.8e460981bf2efa37,நரிவெரூஉத் தலையார்,PERSON,candidate_entity,human_review_required,asrt.921c64f939f2e1bd017fc18d,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.901ca604076ef30e,நெட்டிமையார்,PERSON,candidate_entity,human_review_required,asrt.052b4e5ba1bc7e5f80ecd97e|asrt.d87d5212736bcb5720f2aeee,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.7cd73e058ffb0fc1,பரணர்,PERSON,candidate_entity,human_review_required,asrt.4f0a3ec4fbf449bc4b3d177c,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.413aba0f222ead3c,பாண்டரங் கண்ணனார்,PERSON,candidate_entity,human_review_required,asrt.72d952f257a76fd9cc33384d,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.bd5547d850bc803b,பாண்டியன் கருங்கை ஒள்வாள் பெரும்பெயர் வழுதி,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.f38296066324604e2ed3c18f,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.94a4315557768fd7,பாண்டியன் தலையாலங் கானத்து நெடுஞ்செழியன்,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.7c203a99fa23216ed79b0743,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.2bf9f3d974481dc1,பாண்டியன் தலையாலங் கானத்துச் செருவென்ற நெடுஞ்செழியன்,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.219bd3cb511219a5b881b544,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.2c33c63f49d1be0c,பாண்டியன் தலையாலங்கானத்துச் செருவென்ற நெடுஞ்செழியன்,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.69799bb0f28027df1d47c790,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.fe225414cbfc9c7d,பாண்டியன் நெடுஞ்செழியன். திணை: பொதுவியல்,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.81d0c77dbafb4fbe742db6ee,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.9b9f96ffad61663a,பாண்டியன் பல்யாகசாலை முதுகுடுமிப் பெருவழுதி,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.6729a9562fa654f9daf31665|asrt.687493e30456319401ade885|asrt.c73d4b5552f30ae42157c9ee,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.4371f6f2b2ca3e88,பெருந்தேவனார்,PERSON,candidate_entity,human_review_required,asrt.d00161902ab998965677f433,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.8c87d00f7ddd1ed3,பேய்மகள் இளவெயினியார்,PERSON,candidate_entity,human_review_required,asrt.e61616799a58d5caebb285d4,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.9910f4306e31c8ef,மாங்குடி கிழவர்:மாங்குடி மருதனார் எனவும் பாடம்,PERSON,candidate_entity,human_review_required,asrt.325d780f425bfa5fbc0a3aad,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.36948e84be1d4bbd,முரஞ்சியூர் முடிநாகராயர்,PERSON,candidate_entity,human_review_required,asrt.8f075641cccc81f23e3e6134,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
